item,source_feature,family,transform_type,operator,threshold,Display_Item_Label_CN,Display_Item_Label_EN,threshold_source,has_continuous_threshold,requires_observed_source_value,sentinel_flag_available,missing_or_sentinel_values_can_trigger,Missing_Category_Type,Semantic_Group,Source_Group,Physical_Mechanism_Eligible,Mechanism_Axis,Mechanism_Families,Governance_Scene,Governance_Interpretation_Template,Interpretation_Boundary
FEATURE_Age_Over60,FEATURE_Age_Over60,age,exact_binary_column,==,1.0,年龄 > 60岁,Age > 60 years,binary_column,0,0,0,1,not_missing_category,age_over60,FEATURE_Age_Over60,1,mixed_multimechanism,age,cross-mechanism audit and hypothesis governance,多机制混合轴线，适合作为跨机制治理线索，需结合证据等级审慎解释。,Train-only mechanism label; use only with evidence tier and case-level replay context because no single mechanism dominates.
VEH_意识到危险前的初始速度_V0___GT_50_0,VEH_意识到危险前的初始速度_V0,speed_v0,threshold,>,50.0,初始速度 > 50 km/h,Initial speed > 50 km/h,domain_speed_50,1,1,1,0,not_missing_category,precrash_speed,V0,1,speed_energy,speed_v0,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
VEH_碰撞速度_VK___GT_50_0,VEH_碰撞速度_VK,speed_vk,threshold,>,50.0,碰撞速度 > 50 km/h,Impact speed > 50 km/h,domain_speed_50,1,1,1,0,not_missing_category,impact_speed,VK,1,speed_energy,speed_vk,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
体重估计_GEWPG___GT_70_0,体重估计_GEWPG,bio,threshold,>,70.0,体重估计_GEWPG___GT_70_0,体重估计_GEWPG___GT_70_0,train_median_weight,1,1,1,0,not_missing_category,weight_body_size,GEWPG,1,vulnerability_body,bio,injury susceptibility stratification,个体脆弱性-体格轴线，适合作为伤害易感性分层线索，不应解释为可直接干预因果因素。,"Train-only mechanism label; vulnerability/body-size patterns are stratification signals, not directly intervenable causal factors."
路灯_STRABEL_0-无路灯,路灯_STRABEL_0-无路灯,light,exact_binary_column,==,1.0,路灯_STRABEL_0-无路灯,路灯_STRABEL_0-无路灯,binary_column,0,0,0,1,not_missing_category,lighting_visibility,路灯_STRABEL,1,lighting_visibility,light,night lighting and visibility governance,照明-可视性轴线，适合支持夜间照明、路灯状态、反光设施和主动警示治理。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
事故现场道路环境_STFUHO_4-环形交叉,事故现场道路环境_STFUHO_4-环形交叉,road_env,exact_binary_column,==,1.0,事故现场道路环境_STFUHO_4-环形交叉,事故现场道路环境_STFUHO_4-环形交叉,binary_column,0,0,0,1,not_missing_category,road_environment_type,STFUHO,1,mixed_multimechanism,road_env,cross-mechanism audit and hypothesis governance,多机制混合轴线，适合作为跨机制治理线索，需结合证据等级审慎解释。,Train-only mechanism label; use only with evidence tier and case-level replay context because no single mechanism dominates.
公路分类_STRKL_1-公路以外的其他道路,公路分类_STRKL_1-公路以外的其他道路,road_type,exact_binary_column,==,1.0,公路分类_STRKL_1-公路以外的其他道路,公路分类_STRKL_1-公路以外的其他道路,binary_column,0,0,0,1,not_missing_category,other_unique:STRKL,STRKL,1,mixed_multimechanism,road_type,cross-mechanism audit and hypothesis governance,多机制混合轴线，适合作为跨机制治理线索，需结合证据等级审慎解释。,Train-only mechanism label; use only with evidence tier and case-level replay context because no single mechanism dominates.
路面附着系数_MUE___LE_0_5,路面附着系数_MUE,road_surface,threshold,<=,0.5,路面附着系数_MUE___LE_0_5,路面附着系数_MUE___LE_0_5,domain_friction_0_5,1,1,1,0,not_missing_category,other_unique:MUE,MUE,1,surface_weather_friction,road_surface,low-friction road surface and weather governance,路面附着-天气轴线，适合支持湿滑/低附着道路、恶劣天气和路面维护治理。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
VEH_车高_HOEHE___GT_1495_0,VEH_车高_HOEHE,vehicle_size,threshold,>,1495.0,车辆高度 > 1495 mm,Vehicle height > 1495 mm,train_median_vehicle_size,1,1,1,0,not_missing_category,vehicle_geometry_height,HOEHE,1,vehicle_geometry_interaction,vehicle_size,"vehicle geometry, blind-zone, and VRU protection design",车辆几何-VRU交互轴线，适合支持车辆前端几何、盲区、车辆类型和VRU保护设计讨论。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,safety,exact_binary_column,==,1.0,主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物,binary_column,0,0,0,1,not_missing_category,safety_assistance,ACSCE,1,safety_assistance,safety,vehicle active safety configuration governance,车辆安全配置轴线，适合支持AEB、LKA、VRU检测等车辆端主动安全配置讨论。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0,VEH_车上第一碰撞点Y向坐标_BRPY,crash_type,threshold,>,60.0,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0,train_median_exploratory,1,1,1,0,not_missing_category,crash_contact_geometry,BRPY,1,crash_configuration,crash_type,conflict type and road-space redesign governance,碰撞构型轴线，适合支持冲突类型识别、交通组织和道路空间再设计。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
行驶车辆所在车道_FSTREIF_3-单向车道_单车道,行驶车辆所在车道_FSTREIF_3-单向车道_单车道,lane,exact_binary_column,==,1.0,行驶车辆所在车道_FSTREIF_3-单向车道_单车道,行驶车辆所在车道_FSTREIF_3-单向车道_单车道,binary_column,0,0,0,1,not_missing_category,other_unique:行驶车辆所在车道_FSTREIF_3-单向车道,行驶车辆所在车道_FSTREIF_3-单向车道,1,mixed_multimechanism,lane,cross-mechanism audit and hypothesis governance,多机制混合轴线，适合作为跨机制治理线索，需结合证据等级审慎解释。,Train-only mechanism label; use only with evidence tier and case-level replay context because no single mechanism dominates.
风速_WINDS___GT_0_0,风速_WINDS,weather,threshold,>,0.0,风速_WINDS___GT_0_0,风速_WINDS___GT_0_0,train_median_exploratory,1,1,1,0,not_missing_category,weather_wind,风速_WINDS,1,surface_weather_friction,weather,low-friction road surface and weather governance,路面附着-天气轴线，适合支持湿滑/低附着道路、恶劣天气和路面维护治理。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,VEH_车上第一碰撞点Z向坐标_BRPZ,crash_type,threshold,>,50.0,VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,train_median_exploratory,1,1,1,0,not_missing_category,crash_contact_geometry,BRPZ,1,crash_configuration,crash_type,conflict type and road-space redesign governance,碰撞构型轴线，适合支持冲突类型识别、交通组织和道路空间再设计。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
性别_GESCHL_3-男性,性别_GESCHL_3-男性,bio,exact_binary_column,==,1.0,男性,Male,binary_column,0,0,0,1,not_missing_category,sex,GESCHL,1,mixed_multimechanism,bio,cross-mechanism audit and hypothesis governance,多机制混合轴线，适合作为跨机制治理线索，需结合证据等级审慎解释。,Train-only mechanism label; use only with evidence tier and case-level replay context because no single mechanism dominates.
VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,other,exact_binary_column,==,1.0,VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,binary_column,0,0,0,1,not_missing_category,other_unique:VEH_第一轴右侧轮胎胎面状态_TIREDA1R,VEH_第一轴右侧轮胎胎面状态_TIREDA1R,1,mixed_multimechanism,other,cross-mechanism audit and hypothesis governance,多机制混合轴线，适合作为跨机制治理线索，需结合证据等级审慎解释。,Train-only mechanism label; use only with evidence tier and case-level replay context because no single mechanism dominates.
VEH_车辆用途_VEHUSAGE_16-私用,VEH_车辆用途_VEHUSAGE_16-私用,vehicle_state,exact_binary_column,==,1.0,VEH_车辆用途_VEHUSAGE_16-私用,VEH_车辆用途_VEHUSAGE_16-私用,binary_column,0,0,0,1,not_missing_category,other_unique:VEHUSAGE,VEHUSAGE,1,vehicle_geometry_interaction,vehicle_state,"vehicle geometry, blind-zone, and VRU protection design",车辆几何-VRU交互轴线，适合支持车辆前端几何、盲区、车辆类型和VRU保护设计讨论。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
身高估计_GROESPG___GT_170_0,身高估计_GROESPG,bio,threshold,>,170.0,身高估计_GROESPG___GT_170_0,身高估计_GROESPG___GT_170_0,train_median_height,1,1,1,0,not_missing_category,height_body_size,GROESPG,1,vulnerability_body,bio,injury susceptibility stratification,个体脆弱性-体格轴线，适合作为伤害易感性分层线索，不应解释为可直接干预因果因素。,"Train-only mechanism label; vulnerability/body-size patterns are stratification signals, not directly intervenable causal factors."
VEH_碰撞前的制动距离_WEGV___GT_0_5,VEH_碰撞前的制动距离_WEGV,crash_type,threshold,>,0.5,VEH_碰撞前的制动距离_WEGV___GT_0_5,VEH_碰撞前的制动距离_WEGV___GT_0_5,train_median_exploratory,1,1,1,0,not_missing_category,other_unique:VEH_碰撞前的制动距离,VEH_碰撞前的制动距离,1,crash_configuration,crash_type,conflict type and road-space redesign governance,碰撞构型轴线，适合支持冲突类型识别、交通组织和道路空间再设计。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
事故参与人数_ANZPERS_3-3,事故参与人数_ANZPERS_3-3,other,exact_binary_column,==,1.0,事故参与人数_ANZPERS_3-3,事故参与人数_ANZPERS_3-3,binary_column,0,0,0,1,not_missing_category,other_unique:事故参与人数_ANZPERS,事故参与人数_ANZPERS,1,mixed_multimechanism,other,cross-mechanism audit and hypothesis governance,多机制混合轴线，适合作为跨机制治理线索，需结合证据等级审慎解释。,Train-only mechanism label; use only with evidence tier and case-level replay context because no single mechanism dominates.
VEH_车长_LAENGE___GT_4598_5,VEH_车长_LAENGE,vehicle_size,threshold,>,4598.5,车辆长度 > 4598.5 mm,Vehicle length > 4598.5 mm,train_median_vehicle_size,1,1,1,0,not_missing_category,vehicle_geometry_length,LAENGE,1,vehicle_geometry_interaction,vehicle_size,"vehicle geometry, blind-zone, and VRU protection design",车辆几何-VRU交互轴线，适合支持车辆前端几何、盲区、车辆类型和VRU保护设计讨论。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
道路类型_STRART_15-公路_四级公路,道路类型_STRART_15-公路_四级公路,road_type,exact_binary_column,==,1.0,道路类型_STRART_15-公路_四级公路,道路类型_STRART_15-公路_四级公路,binary_column,0,0,0,1,not_missing_category,other_unique:STRART,STRART,1,mixed_multimechanism,road_type,cross-mechanism audit and hypothesis governance,多机制混合轴线，适合作为跨机制治理线索，需结合证据等级审慎解释。,Train-only mechanism label; use only with evidence tier and case-level replay context because no single mechanism dominates.
VEH_车宽_BREITE___GT_1800_0,VEH_车宽_BREITE,vehicle_size,threshold,>,1800.0,车辆宽度 > 1800 mm,Vehicle width > 1800 mm,train_median_vehicle_size,1,1,1,0,not_missing_category,vehicle_geometry_width,BREITE,1,vehicle_geometry_interaction,vehicle_size,"vehicle geometry, blind-zone, and VRU protection design",车辆几何-VRU交互轴线，适合支持车辆前端几何、盲区、车辆类型和VRU保护设计讨论。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier."
VEH_碰撞时的总重_GEWGES___GT_1497_5,VEH_碰撞时的总重_GEWGES,vehicle_mass,threshold,>,1497.5,车辆总重 > 1497.5,Vehicle total weight > 1497.5,train_median_vehicle_mass,1,1,1,0,not_missing_category,vehicle_mass,GEWGES,1,vehicle_mass_speed_energy,vehicle_mass,vehicle mass-speed energy audit signal,车辆总重—速度能量轴线，适合作为车辆质量/惯性与速度共同作用下的审计级治理线索。,"Vehicle mass-speed energy axis; use as an audit-level signal for vehicle mass/inertia combined with speed exposure, not as crash configuration governance."
不同行驶方向车道的隔离方法_MARK_11-防撞栏,不同行驶方向车道的隔离方法_MARK_11-防撞栏,lane,exact_binary_column,==,1.0,不同行驶方向车道的隔离方法_MARK_11-防撞栏,不同行驶方向车道的隔离方法_MARK_11-防撞栏,binary_column,0,0,0,1,not_missing_category,other_unique:MARK,MARK,1,mixed_multimechanism,lane,cross-mechanism audit and hypothesis governance,多机制混合轴线，适合作为跨机制治理线索，需结合证据等级审慎解释。,Train-only mechanism label; use only with evidence tier and case-level replay context because no single mechanism dominates.
