Candidate_Feature,Family,Missing_Category_Type,Semantic_Group,Source_Group,ConsensusRank,ConsensusScore
公路分类_STRKL_MISSING_OR_UNKNOWN,road_type,pure_missing_unknown,unknown_missing_category,STRKL,5,0.66036629840653
行驶车辆所在车道_FSTREIF_MISSING_OR_UNKNOWN,lane,pure_missing_unknown,unknown_missing_category,行驶车辆所在车道_FSTREIF_MISSING_OR,14,0.5974099798677021
道路类型_STRART_MISSING_OR_UNKNOWN,road_type,pure_missing_unknown,unknown_missing_category,STRART,28,0.5342249065286166
VEH_碰撞预警_COLLWARN1_9-未知,crash_type,pure_missing_unknown,unknown_missing_category,VEH_碰撞预警_COLLWARN1,41,0.5136453839516825
沿道路方向的倾斜趋势_NEIGUNG_9-未知,other,pure_missing_unknown,unknown_missing_category,沿道路方向的倾斜趋势_NEIGUNG,46,0.5067848716636698
酒精作用_MEDALK_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,酒精作用_MEDALK_MISSING_OR,47,0.5019941123275367
VEH_新能源车辆电池包损坏情况_BATDAM_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_新能源车辆电池包损坏情况_BATDAM_MISSING_OR,49,0.49977622667632815
VEH_照明系统类型-近光灯_SWARTA1_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,VEH_照明系统类型-近光灯_SWARTA1_MISSING_OR,57,0.48609419039401786
VEH_护栏导轨类型_SPLANKE_0-不适用,other,pure_missing_unknown,unknown_missing_category,VEH_护栏导轨类型_SPLANKE,58,0.48605479893152015
主动安全场景_ACSCE_MISSING_OR_UNKNOWN,safety,pure_missing_unknown,unknown_missing_category,ACSCE,66,0.47291585764114197
VEH_与护栏碰撞的事故类型_PLANKEK_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_与护栏碰撞的事故类型_PLANKEK_MISSING_OR,68,0.46731348863963185
VEH_车道保持系统_SPURHAE1_9-未知,lane,pure_missing_unknown,unknown_missing_category,VEH_车道保持系统_SPURHAE1,72,0.46287129709519703
VEH_新能源车辆电池包损坏情况_BATDAM_0-不适用,other,pure_missing_unknown,unknown_missing_category,VEH_新能源车辆电池包损坏情况_BATDAM,73,0.46260836775392733
碰撞前的行驶方向_FZGRI_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,碰撞前的行驶方向_FZGRI_MISSING_OR,75,0.46163848144952546
VEH_自动紧急制动系统_AEB1_1-有，具体未知,safety,partial_unknown_detail,safety_assistance,VEH_自动紧急制动系统_AEB1,79,0.4591233822260569
VEH_是否与柱状物碰撞_COLUCOLLI_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_是否与柱状物碰撞_COLUCOLLI_MISSING_OR,80,0.45907880356629277
VEH_照明系统类型-远光灯_SWARTF1_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,VEH_照明系统类型-远光灯_SWARTF1_MISSING_OR,81,0.45888682772505035
VEH_第二轴右侧轮胎胎面状态_TIREDA2R_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_第二轴右侧轮胎胎面状态_TIREDA2R_MISSING_OR,86,0.455548134858747
VEH_与护栏碰撞的事故类型_PLANKEK_0-不适用,crash_type,pure_missing_unknown,unknown_missing_category,VEH_与护栏碰撞的事故类型_PLANKEK,88,0.45370060396893874
事故碰撞总次数_ACCICOLLINO_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,事故碰撞总次数_ACCICOLLINO_MISSING_OR,89,0.45168737417313776
VEH_夜间后视警告_RHILFNS1_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,VEH_夜间后视警告_RHILFNS1_MISSING_OR,91,0.45122735116479723
VEH_夜视仪-安装位置_NIGHTWO1_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,VEH_夜视仪-安装位置_NIGHTWO1_MISSING_OR,102,0.4451773080241587
VEH_本次碰撞前是否转向_STEERING_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_本次碰撞前是否转向_STEERING_MISSING_OR,110,0.4416695427092321
FEATURE_Age_Group_MISSING_OR_UNKNOWN,age,pure_missing_unknown,unknown_missing_category,FEATURE_Age_Group,111,0.4415832614322692
VEH_挂车是否参与碰撞_TRAIMPCT_0-不适用,crash_type,pure_missing_unknown,unknown_missing_category,VEH_挂车是否参与碰撞_TRAIMPCT,116,0.43864969801553066
VEH_碰撞物体_KONOBJ_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_碰撞物体_KONOBJ_MISSING_OR,121,0.43640638481449523
VEH_执行紧急任务的紧急车辆_BLICHT_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,BLICHT,122,0.4360130859936727
VEH_自动变道辅助_SPURWAE1_MISSING_OR_UNKNOWN,lane,pure_missing_unknown,unknown_missing_category,VEH_自动变道辅助_SPURWAE1_MISSING_OR,125,0.43557880356629275
VEH_钻入碰撞_UFAHR_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_钻入碰撞_UFAHR_MISSING_OR,132,0.43430687374173144
VEH_智能前大灯控制_FLICHTASS1_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,VEH_智能前大灯控制_FLICHTASS1_MISSING_OR,136,0.4331370434282428
风力_WINDV_MISSING_OR_UNKNOWN,weather,pure_missing_unknown,unknown_missing_category,WINDV,137,0.43295498993385106
VEH_挂车是否参与碰撞_TRAIMPCT_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_挂车是否参与碰撞_TRAIMPCT_MISSING_OR,141,0.4320923209663503
VEH_自动紧急制动系统_AEB1_MISSING_OR_UNKNOWN,safety,pure_missing_unknown,unknown_missing_category,VEH_自动紧急制动系统_AEB1_MISSING_OR,142,0.43193557664653437
VEH_胎痕的分布_SPURZ_9-未知,lane,pure_missing_unknown,unknown_missing_category,SPURZ,144,0.4314948231233823
VEH_第几次碰撞导致的钻入_UFAHRK_0-不适用,crash_type,pure_missing_unknown,unknown_missing_category,VEH_第几次碰撞导致的钻入_UFAHRK,148,0.43059677883232667
路灯类型_LAMPEN_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,路灯类型_LAMPEN_MISSING_OR,152,0.42971455277538106
行驶方向的车道数_FSPUR_MISSING_OR_UNKNOWN,lane,pure_missing_unknown,unknown_missing_category,行驶方向的车道数_FSPUR_MISSING_OR,153,0.4295966350301985
道路表面几何_STRZB2_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,道路表面几何_STRZB2_MISSING_OR,154,0.42946515120913237
VEH_碰撞前车辆运动曲线_RICHTVU_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_碰撞前车辆运动曲线_RICHTVU_MISSING_OR,158,0.42918751797526605
VEH_碰撞前的滑移偏离_SCHLEU_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_碰撞前的滑移偏离_SCHLEU_MISSING_OR,162,0.42792205924647686
VEH_已确定的技术缺陷对事故的影响_UNFMANG_0-不适用,other,pure_missing_unknown,unknown_missing_category,VEH_已确定的技术缺陷对事故的影响_UNFMANG,167,0.4267421627840092
VEH_胎痕_BSPUR_MISSING_OR_UNKNOWN,lane,pure_missing_unknown,unknown_missing_category,BSPUR,176,0.42473612309462183
VEH_碰撞前的滑移偏离_SCHLEU_1-偏离，具体未知,crash_type,pure_missing_unknown,unknown_missing_category,VEH_碰撞前的滑移偏离_SCHLEU,177,0.42449956859361515
VEH_电子稳定程序_ESP1_1-存在，具体未知,other,partial_unknown_detail,other_unique:VEH_电子稳定程序_ESP1,VEH_电子稳定程序_ESP1,178,0.4238756111590452
不同行驶方向车道的隔离方法_MARK_MISSING_OR_UNKNOWN,lane,pure_missing_unknown,unknown_missing_category,MARK,179,0.42303925798101816
VEH_车辆用途_VEHUSAGE_MISSING_OR_UNKNOWN,vehicle_state,pure_missing_unknown,unknown_missing_category,VEHUSAGE,180,0.4226783146390567
交通灯的功能_LZAB_0-不适用,other,pure_missing_unknown,unknown_missing_category,交通灯的功能_LZAB,182,0.4224684880369318
VEH_车道变更警告_SPURWAW1_MISSING_OR_UNKNOWN,lane,pure_missing_unknown,unknown_missing_category,VEH_车道变更警告_SPURWAW1_MISSING_OR,183,0.42204184641932707
VEH_碰撞预警_COLLWARN1_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_碰撞预警_COLLWARN1_MISSING_OR,187,0.42124964049467933
VEH_胎痕的分布_SPURZ_MISSING_OR_UNKNOWN,lane,pure_missing_unknown,unknown_missing_category,SPURZ,188,0.4203070175438597
事故类型_UTYP_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,事故类型_UTYP,199,0.41719442047742306
是否有非机动车道_NOMOTLA_MISSING_OR_UNKNOWN,lane,pure_missing_unknown,unknown_missing_category,是否有非机动车道_NOMOTLA_MISSING_OR,201,0.415781276962899
VEH_碰撞预警_COLLWARN1_1-有，具体未知,crash_type,partial_unknown_detail,safety_assistance,VEH_碰撞预警_COLLWARN1,207,0.41443341961461033
年龄段_ALTERG_MISSING_OR_UNKNOWN,age,pure_missing_unknown,unknown_missing_category,ALTERG,208,0.414404659188956
VEH_车道保持系统_SPURHAE1_MISSING_OR_UNKNOWN,lane,pure_missing_unknown,unknown_missing_category,VEH_车道保持系统_SPURHAE1_MISSING_OR,211,0.4135770779407536
碰撞时参与方状态_PARTISTATUS_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,碰撞时参与方状态_PARTISTATUS_MISSING_OR,213,0.4128515962036238
VEH_夜视系统_NIGHTV1_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,VEH_夜视系统_NIGHTV1_MISSING_OR,214,0.412783865401208
加速反应_REAKTGAS_0-不适用,other,pure_missing_unknown,unknown_missing_category,加速反应_REAKTGAS,219,0.4108666954270923
公路分类_STRKL_2-公路，具体未知,road_type,pure_missing_unknown,unknown_missing_category,STRKL,221,0.41053781995973543
VEH_照明系统类型-日行灯_SWARTT1_0-不适用,light,pure_missing_unknown,unknown_missing_category,VEH_照明系统类型-日行灯_SWARTT1,222,0.41047382801265464
VEH_本次碰撞前的小碰撞_SMIMPCT_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_本次碰撞前的小碰撞_SMIMPCT_MISSING_OR,226,0.40977423065861374
事故路段车流量_VSTUFE_MISSING_OR_UNKNOWN,road_env,pure_missing_unknown,unknown_missing_category,事故路段车流量_VSTUFE_MISSING_OR,227,0.40969729651998854
雾天时的能见度_NEBELM_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,雾天时的能见度_NEBELM_MISSING_OR,230,0.4091318665516249
星期_WOTAG_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,星期_WOTAG_MISSING_OR,231,0.4086863333565557
路灯_STRABEL_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,路灯_STRABEL_MISSING_OR,235,0.40814423353465634
中央隔离带的视觉防护板或防炫板_BLENDSCH_0-不适用_与对向车道没有结构隔离,lane,pure_missing_unknown,unknown_missing_category,中央隔离带的视觉防护板或防炫板_BLENDSCH_0-不适用,238,0.4076041127408685
年龄月数记录_ALTER2_0-不适用_人员年龄大于2岁,age,pure_missing_unknown,unknown_missing_category,年龄月数记录_ALTER2_0-不适用,241,0.4069269485188381
VEH_第几次碰撞导致的钻入_UFAHRK_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_第几次碰撞导致的钻入_UFAHRK_MISSING_OR,244,0.4066681046879494
VEH_本次碰撞前的驶离道路_ABKOM_9-未知,crash_type,pure_missing_unknown,unknown_missing_category,VEH_本次碰撞前的驶离道路_ABKOM,246,0.40655306298533217
VEH_车道偏离报警系统_SPURHAW1_MISSING_OR_UNKNOWN,lane,pure_missing_unknown,unknown_missing_category,VEH_车道偏离报警系统_SPURHAW1_MISSING_OR,250,0.40515027322404373
VEH_本次碰撞前是否制动_BRAKEBEF_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_本次碰撞前是否制动_BRAKEBEF_MISSING_OR,253,0.405
性别_GESCHL_9-未知,bio,pure_missing_unknown,unknown_missing_category,GESCHL,257,0.40384311187805577
FEATURE_Opp_Powertrain_未知,vehicle_state,pure_missing_unknown,unknown_missing_category,FEATURE_Opp_Powertrain,258,0.4036676732815646
年龄月数记录_ALTER2_99-未知,age,pure_missing_unknown,unknown_missing_category,年龄月数记录_ALTER2,260,0.4033606557377049
VEH_碰撞前的滑移痕迹_SSPUR_MISSING_OR_UNKNOWN,lane,pure_missing_unknown,unknown_missing_category,VEH_碰撞前的滑移痕迹_SSPUR_MISSING_OR,261,0.40311748633879785
碰撞前驾驶员意图_ABSICHT_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,碰撞前驾驶员意图_ABSICHT_MISSING_OR,263,0.402411561691113
VEH_第一轴右侧轮胎纹深_TIREDE1R_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_第一轴右侧轮胎纹深_TIREDE1R_MISSING_OR,267,0.40090638481449525
路面情况_STROB_MISSING_OR_UNKNOWN,road_surface,pure_missing_unknown,unknown_missing_category,STROB,268,0.4000494679321254
进入公交车站是否安全_BUSHS_0-不适用,safety,pure_missing_unknown,unknown_missing_category,进入公交车站是否安全_BUSHS,271,0.39880356629278113
VEH_照明系统类型-日行灯_SWARTT1_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,VEH_照明系统类型-日行灯_SWARTT1_MISSING_OR,273,0.39845197008915734
道路表面_STRZB1_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,道路表面_STRZB1_MISSING_OR,274,0.3981361806154732
VEH_车道变更警告_SPURWAW1_9-未知,lane,pure_missing_unknown,unknown_missing_category,VEH_车道变更警告_SPURWAW1,278,0.3973941616335922
VEH_夜视仪-安装位置_NIGHTWO1_0-不适用，没有夜视系统,light,pure_missing_unknown,unknown_missing_category,VEH_夜视仪-安装位置_NIGHTWO1,281,0.3965825424216278
进入公交车站是否安全_BUSHS_MISSING_OR_UNKNOWN,safety,pure_missing_unknown,unknown_missing_category,进入公交车站是否安全_BUSHS_MISSING_OR,282,0.39650273224043714
对向车道数_FSPURG_MISSING_OR_UNKNOWN,lane,pure_missing_unknown,unknown_missing_category,对向车道数_FSPURG_MISSING_OR,285,0.39551553062985334
VEH_NEDC续航里程_MILEAGE_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_NEDC续航里程_MILEAGE_MISSING_OR,295,0.39281550186942765
VEH_钻入方式_ARTUFAHR_0-不适用，未钻入,other,pure_missing_unknown,unknown_missing_category,VEH_钻入方式_ARTUFAHR,296,0.3927865585374213
VEH_车道偏离报警系统_SPURHAW1_9-未知,lane,pure_missing_unknown,unknown_missing_category,VEH_车道偏离报警系统_SPURHAW1,300,0.3921793212539546
VEH_自动紧急制动系统_AEB1_9-未知,safety,pure_missing_unknown,unknown_missing_category,VEH_自动紧急制动系统_AEB1,305,0.39106701179177455
VEH_挡风玻璃加热装置_FSHEIZ1_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_挡风玻璃加热装置_FSHEIZ1_MISSING_OR,312,0.39022706356054065
VEH_车轴数_ACHSEN_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_车轴数_ACHSEN_MISSING_OR,315,0.38961274086856484
道路表面的轨道_SCHIENEN_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,道路表面的轨道_SCHIENEN_MISSING_OR,322,0.3876098648259994
VEH_动力电池种类_BATTYPE_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_动力电池种类_BATTYPE_MISSING_OR,328,0.3856829163071614
ARU事故原因1_URSWIS1_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,URSWIS,330,0.3847717860224332
VEH_技术缺陷类型_5_TWELCH5_0-不适用,other,pure_missing_unknown,unknown_missing_category,VEH_技术缺陷类型_5_TWELCH5,333,0.3837651711245327
不同行驶方向车道的隔离方法_MARK_0-不适用,lane,pure_missing_unknown,unknown_missing_category,MARK,336,0.382343255680184
VEH_前雾灯的使用_NEBELV1_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_前雾灯的使用_NEBELV1_MISSING_OR,337,0.38222246189243597
交通信号的视线障碍_VSSICHT_0-不适用,other,pure_missing_unknown,unknown_missing_category,交通信号的视线障碍_VSSICHT,339,0.382087863100374
VEH_发动机安装方式_MOTOREL_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_发动机安装方式_MOTOREL_MISSING_OR,342,0.38167601380500427
VEH_车辆类型_FZART_0-乘用车，具体未知,other,pure_missing_unknown,unknown_missing_category,VEH_车辆类型_FZART,345,0.38130212827149845
道路类型_STRART_99-未知,road_type,pure_missing_unknown,unknown_missing_category,STRART,350,0.38031061259706644
VEH_护栏立柱间距_SPPFOST_0-不适用,other,pure_missing_unknown,unknown_missing_category,VEH_护栏立柱间距_SPPFOST,353,0.37984454989933847
VEH_车道保持系统_SPURHAE1_1-有，具体未知,lane,partial_unknown_detail,safety_assistance,VEH_车道保持系统_SPURHAE1,354,0.37955349439171704
VEH_换挡控制单元_BESCHALT1_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_换挡控制单元_BESCHALT1_MISSING_OR,356,0.37937517975266033
VEH_共享车辆_VEHSHARE_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_共享车辆_VEHSHARE_MISSING_OR,361,0.3785020132297958
VEH_技术缺陷类型_5_TWELCH5_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_技术缺陷类型_5_TWELCH5_MISSING_OR,362,0.3782627264883521
VEH_技术缺陷类型_3_TWELCH3_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_技术缺陷类型_3_TWELCH3_MISSING_OR,363,0.37809016393442624
VEH_前照灯清洗系统_SWPUTZ1_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_前照灯清洗系统_SWPUTZ1_MISSING_OR,364,0.37795556514236406
VEH_护栏类型_PLANKEA_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_护栏类型_PLANKEA_MISSING_OR,367,0.37747699165947657
VEH_新能源汽车类型_NEVTYPE_0-不适用,vehicle_state,pure_missing_unknown,unknown_missing_category,VEH_新能源汽车类型_NEVTYPE,371,0.3770067587000288
先期疾病3_VORKR3_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,先期疾病3_VORKR3_MISSING_OR,376,0.37608613747483466
公交车站对事故的影响_BUSHE_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,公交车站对事故的影响_BUSHE_MISSING_OR,384,0.37512784009203337
VEH_技术缺陷类型_1_TWELCH1_0-不适用,other,pure_missing_unknown,unknown_missing_category,VEH_技术缺陷类型_1_TWELCH1,390,0.3744088294506759
VEH_刹车灯_BLIART1_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_刹车灯_BLIART1_MISSING_OR,392,0.37431334483750356
刹车响应_REAKTBR_0-不适用,other,pure_missing_unknown,unknown_missing_category,刹车响应_REAKTBR,395,0.3740832614322692
VEH_第二轴右侧轮胎纹深_TIREDE2R_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_第二轴右侧轮胎纹深_TIREDE2R_MISSING_OR,396,0.3740729076790337
VEH_是否与护栏碰撞_BARRCOLLI_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_是否与护栏碰撞_BARRCOLLI_MISSING_OR,402,0.3733727351164797
VEH_前防撞栏_FSCHB_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_前防撞栏_FSCHB_MISSING_OR,405,0.3731525740580961
VEH_抬头显示_HUDVORH1_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_抬头显示_HUDVORH1_MISSING_OR,407,0.37302832901926947
事故时的分心驾驶行为3_DISDRIVE3_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,事故时的分心驾驶行为3_DISDRIVE3_MISSING_OR,408,0.37290408398044295
驾照等级与车型是否相符_LICENFIT_0-不适用,other,pure_missing_unknown,unknown_missing_category,驾照等级与车型是否相符_LICENFIT,409,0.3728454127121081
VEH_第一轴左侧轮胎胎面状态_TIREDA1L_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_第一轴左侧轮胎胎面状态_TIREDA1L_MISSING_OR,413,0.37166738567730795
VEH_牵引力控制系统_ASR1_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_牵引力控制系统_ASR1_MISSING_OR,414,0.37160986482599945
交通限速设施_SPLIFA_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,交通限速设施_SPLIFA_MISSING_OR,420,0.3706699741156169
事故前是否受到警告_REAKTHUP_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,事故前是否受到警告_REAKTHUP_MISSING_OR,421,0.37054572907679034
VEH_制动力分配系统_EBD1_9-未知,vehicle_state,pure_missing_unknown,unknown_missing_category,VEH_制动力分配系统_EBD1,422,0.370506902502157
VEH_护栏立柱间距_SPPFOST_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_护栏立柱间距_SPPFOST_MISSING_OR,426,0.3695862812769629
水膜的影响_AQUAPL_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,水膜的影响_AQUAPL_MISSING_OR,429,0.3691548748921484
VEH_变速器_GETRIEBE_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_变速器_GETRIEBE_MISSING_OR,431,0.36905018694276676
国籍_NAT_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,国籍_NAT_MISSING_OR,433,0.36882010353753236
车内视线障碍_SBINNEN_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,车内视线障碍_SBINNEN_MISSING_OR,434,0.36882010353753236
VEH_第一轴右侧轮胎胎压_TIREPR1R_0-不适用,other,pure_missing_unknown,unknown_missing_category,VEH_第一轴右侧轮胎胎压_TIREPR1R,438,0.36819657750934714
事故时的分心驾驶行为2_DISDRIVE2_0-不适用,other,pure_missing_unknown,unknown_missing_category,事故时的分心驾驶行为2_DISDRIVE2,442,0.3678997699165948
VEH_第二轴是否双胎_DOUTIRE2_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,VEH_第二轴是否双胎_DOUTIRE2_MISSING_OR,443,0.3678710094909405
VEH_行人主动安全系统_FGSCHUTZ1_0-不适用,safety,pure_missing_unknown,unknown_missing_category,VEH_行人主动安全系统_FGSCHUTZ1,445,0.36782858786310035
超车_UEBERHOL_MISSING_OR_UNKNOWN,other,pure_missing_unknown,unknown_missing_category,超车_UEBERHOL_MISSING_OR,450,0.36743960310612594
