Feature,Family,Split,Is_Vehicle_Dimension,Vehicle_Dimension_Bound_Applied,Imputation,Train_Median_Used,Lower_Bound,Upper_Bound,Missing_Before,Min_Before_Clip,Max_Before_Clip,Min_After_Clip,Max_After_Clip,Below_Bound_Before,Above_Bound_Before,Violation_After,Clip_Count,Extreme_Value_Warning,Train_Missing_Before,Test_Missing_Before,Transform,Missing_Token,Train_Level_N,Test_Unseen_Level_N,Test_Unseen_Levels
身高(GROESP),bio,Train,0.0,0.0,train_median_for_engineering_continuous,168.0,30.0,250.0,2097.0,80.0,183.0,80.0,183.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
身高(GROESP),bio,Test,0.0,0.0,train_median_for_engineering_continuous,168.0,30.0,250.0,490.0,65.0,182.0,65.0,182.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
身高估计(GROESPG),bio,Train,0.0,0.0,train_median_for_engineering_continuous,170.0,30.0,250.0,902.0,150.0,190.0,150.0,190.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
身高估计(GROESPG),bio,Test,0.0,0.0,train_median_for_engineering_continuous,170.0,30.0,250.0,240.0,150.0,190.0,150.0,190.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
体重(GEWP),bio,Train,0.0,0.0,train_median_for_engineering_continuous,70.0,2.0,200.0,2153.0,11.0,170.0,11.0,170.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
体重(GEWP),bio,Test,0.0,0.0,train_median_for_engineering_continuous,70.0,2.0,200.0,511.0,15.0,80.0,15.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
体重估计(GEWPG),bio,Train,0.0,0.0,train_median_for_engineering_continuous,70.0,2.0,200.0,1106.0,50.0,120.0,50.0,120.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
体重估计(GEWPG),bio,Test,0.0,0.0,train_median_for_engineering_continuous,70.0,2.0,200.0,289.0,50.0,80.0,50.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
年龄年数记录(ALTER1),age,Train,0.0,0.0,train_median_for_engineering_continuous,50.0,0.0,120.0,163.0,0.0,99.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
年龄年数记录(ALTER1),age,Test,0.0,0.0,train_median_for_engineering_continuous,50.0,0.0,120.0,42.0,2.0,90.0,2.0,90.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
FEATURE_Age_Years,age,Train,0.0,0.0,train_median_for_engineering_continuous,50.0,0.0,120.0,163.0,0.0,99.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
FEATURE_Age_Years,age,Test,0.0,0.0,train_median_for_engineering_continuous,50.0,0.0,120.0,42.0,2.0,90.0,2.0,90.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
温度(TEMP),other,Train,0.0,0.0,train_median_for_engineering_continuous,22.0,-50.0,60.0,2309.0,2.0,40.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
温度(TEMP),other,Test,0.0,0.0,train_median_for_engineering_continuous,22.0,-50.0,60.0,570.0,3.0,36.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
交通控制(VKREG),other,Train,0.0,0.0,train_median_for_engineering_continuous,3.0,,,390.0,2.0,12.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
交通控制(VKREG),other,Test,0.0,0.0,train_median_for_engineering_continuous,3.0,,,106.0,2.0,11.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
路面附着系数(MUE),road_surface,Train,0.0,0.0,train_median_for_engineering_continuous,0.83,0.0,1.2,2311.0,0.4,0.85,0.4,0.85,0.0,0.0,0.0,0.0,0.0,,,,,,,
路面附着系数(MUE),road_surface,Test,0.0,0.0,train_median_for_engineering_continuous,0.83,0.0,1.2,570.0,0.43,0.85,0.43,0.85,0.0,0.0,0.0,0.0,0.0,,,,,,,
VEH_车长(LAENGE),vehicle_size,Train,1.0,1.0,train_median_for_engineering_continuous,4598.5,300.0,25000.0,392.0,418.0,38961660.0,418.0,25000.0,0.0,1.0,0.0,1.0,1.0,,,,,,,
VEH_车长(LAENGE),vehicle_size,Test,1.0,1.0,train_median_for_engineering_continuous,4598.5,300.0,25000.0,106.0,452.0,6995.0,452.0,6995.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
VEH_车宽(BREITE),vehicle_size,Train,1.0,1.0,train_median_for_engineering_continuous,1800.0,500.0,3500.0,392.0,1200.0,4530.0,1200.0,3500.0,0.0,1.0,0.0,1.0,1.0,,,,,,,
VEH_车宽(BREITE),vehicle_size,Test,1.0,1.0,train_median_for_engineering_continuous,1800.0,500.0,3500.0,106.0,179.0,2490.0,500.0,2490.0,1.0,0.0,0.0,1.0,1.0,,,,,,,
VEH_车高(HOEHE),vehicle_size,Train,1.0,1.0,train_median_for_engineering_continuous,1495.0,500.0,4500.0,392.0,1322.0,150031.0,1322.0,4500.0,0.0,3.0,0.0,3.0,1.0,,,,,,,
VEH_车高(HOEHE),vehicle_size,Test,1.0,1.0,train_median_for_engineering_continuous,1495.0,500.0,4500.0,106.0,177.0,3090.0,500.0,3090.0,1.0,0.0,0.0,1.0,1.0,,,,,,,
VEH_意识到危险前的初始速度(V0),speed_v0,Train,0.0,0.0,train_median_for_engineering_continuous,43.0,0.0,250.0,244.0,0.0,140.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
VEH_意识到危险前的初始速度(V0),speed_v0,Test,0.0,0.0,train_median_for_engineering_continuous,43.0,0.0,250.0,60.0,0.0,107.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
VEH_碰撞速度(VK),speed_vk,Train,0.0,0.0,train_median_for_engineering_continuous,40.0,0.0,250.0,199.0,0.0,130.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
VEH_碰撞速度(VK),speed_vk,Test,0.0,0.0,train_median_for_engineering_continuous,40.0,0.0,250.0,58.0,0.0,107.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
VEH_碰撞角度(KWINK),crash_type,Train,0.0,0.0,train_median_for_engineering_continuous,80.0,,,1.0,-180.0,99999.0,-180.0,99999.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
VEH_碰撞角度(KWINK),crash_type,Test,0.0,0.0,train_median_for_engineering_continuous,80.0,,,0.0,-175.0,99999.0,-175.0,99999.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
鞋跟高度(ABSHOHE),other,Train/Test,,,train_median_numeric,3.0,,,,,,,,,,,,,2308.0,570.0,,,,,
涉及人员数(BETAUSVU),other,Train/Test,,,train_median_numeric,1.0,,,,,,,,,,,,,2308.0,570.0,,,,,
酒精测试结果数值(TESTDIG),other,Train/Test,,,train_median_numeric,0.0,,,,,,,,,,,,,2308.0,570.0,,,,,
血液中酒精浓度(BLUTALK1),other,Train/Test,,,train_median_numeric,0.0,,,,,,,,,,,,,2308.0,570.0,,,,,
根据事故类型确定的参与方A(UTYPA),crash_type,Train/Test,,,train_median_numeric,1.0,,,,,,,,,,,,,2133.0,520.0,,,,,
根据事故类型确定的参与方B(UTYPB),crash_type,Train/Test,,,train_median_numeric,2.0,,,,,,,,,,,,,2133.0,520.0,,,,,
风速(WINDS),weather,Train/Test,,,train_median_numeric,0.0,,,,,,,,,,,,,2308.0,570.0,,,,,
总体机动车道数（条）(NOLAN),lane,Train/Test,,,train_median_numeric,0.0,,,,,,,,,,,,,2570.0,643.0,,,,,
曲率半径(KRADIUS),other,Train/Test,,,train_median_numeric,0.0,,,,,,,,,,,,,1491.0,381.0,,,,,
道路方向变化(KGRAD),other,Train/Test,,,train_median_numeric,0.0,,,,,,,,,,,,,2133.0,520.0,,,,,
横向坡度(NEIGFBQ),other,Train/Test,,,train_median_numeric,1.045,,,,,,,,,,,,,2308.0,570.0,,,,,
纵向坡度(NEIGUNGP),other,Train/Test,,,train_median_numeric,3.035,,,,,,,,,,,,,2308.0,570.0,,,,,
单向车道宽度(RFBREIT),lane,Train/Test,,,train_median_numeric,720.0,,,,,,,,,,,,,2133.0,520.0,,,,,
道路总宽度(STRBREIT),other,Train/Test,,,train_median_numeric,1415.5,,,,,,,,,,,,,1494.0,381.0,,,,,
道路限速(ROADSPEED),other,Train/Test,,,train_median_numeric,50.0,,,,,,,,,,,,,1118.0,277.0,,,,,
VEH_最高车速(MSD),other,Train/Test,,,train_median_numeric,185.0,,,,,,,,,,,,,2308.0,570.0,,,,,
VEH_发动机功率(LSTG),other,Train/Test,,,train_median_numeric,96.0,,,,,,,,,,,,,390.0,106.0,,,,,
VEH_气缸排量(HUBR),other,Train/Test,,,train_median_numeric,1591.0,,,,,,,,,,,,,2308.0,570.0,,,,,
VEH_整备质量(LGEW),other,Train/Test,,,train_median_numeric,1380.0,,,,,,,,,,,,,390.0,106.0,,,,,
VEH_车辆总质量(ZULGEW),other,Train/Test,,,train_median_numeric,1845.0,,,,,,,,,,,,,390.0,106.0,,,,,
VEH_碰撞时的总重(GEWGES),vehicle_mass,Train/Test,,,train_median_numeric,1497.5,,,,,,,,,,,,,200.0,54.0,,,,,
VEH_里程数(KMST),other,Train/Test,,,train_median_numeric,99999.0,,,,,,,,,,,,,390.0,106.0,,,,,
VEH_车辆的重心高度(VEHCGHT),other,Train/Test,,,train_median_numeric,50.0,,,,,,,,,,,,,2308.0,570.0,,,,,
VEH_准乘人数(DESNUMB),other,Train/Test,,,train_median_numeric,5.0,,,,,,,,,,,,,390.0,106.0,,,,,
VEH_CLTC续航里程(MILEAGE2),other,Train/Test,,,train_median_numeric,0.0,,,,,,,,,,,,,2534.0,631.0,,,,,
VEH_WLTC续航里程(MILEAGE3),other,Train/Test,,,train_median_numeric,0.0,,,,,,,,,,,,,2534.0,631.0,,,,,
VEH_驶离道路的角度(ABWINK),other,Train/Test,,,train_median_numeric,0.0,,,,,,,,,,,,,2308.0,570.0,,,,,
VEH_碰撞前平均制动减速度(BV),crash_type,Train/Test,,,train_median_numeric,35.95,,,,,,,,,,,,,2.0,2.0,,,,,
VEH_碰撞前的制动距离(WEGV),crash_type,Train/Test,,,train_median_numeric,0.5,,,,,,,,,,,,,39.0,14.0,,,,,
VEH_柱状物直径(MDURCH),other,Train/Test,,,train_median_numeric,0.0,,,,,,,,,,,,,2133.0,520.0,,,,,
VEH_边坡坡度(RAMPSLOP),other,Train/Test,,,train_median_numeric,0.0,,,,,,,,,,,,,2308.0,570.0,,,,,
VEH_边坡横向宽度(RPWIDTH),other,Train/Test,,,train_median_numeric,0.0,,,,,,,,,,,,,2308.0,570.0,,,,,
VEH_护栏单元长度(SPLANKEL),other,Train/Test,,,train_median_numeric,0.0,,,,,,,,,,,,,2308.0,570.0,,,,,
VEH_护栏顶端离地高(SPLANKEH),other,Train/Test,,,train_median_numeric,0.0,,,,,,,,,,,,,2308.0,570.0,,,,,
VEH_车上第一碰撞点X向坐标(BRPX),crash_type,Train/Test,,,train_median_numeric,15.0,,,,,,,,,,,,,390.0,106.0,,,,,
VEH_车上第一碰撞点Y向坐标(BRPY),crash_type,Train/Test,,,train_median_numeric,60.0,,,,,,,,,,,,,390.0,106.0,,,,,
VEH_车上第一碰撞点Z向坐标(BRPZ),crash_type,Train/Test,,,train_median_numeric,50.0,,,,,,,,,,,,,390.0,106.0,,,,,
VEH_接触重合度(OVERPER),other,Train/Test,,,train_median_numeric,0.0,,,,,,,,,,,,,5.0,0.0,,,,,
FEATURE_Hour,other,Train/Test,,,train_median_numeric,13.0,,,,,,,,,,,,,0.0,0.0,,,,,
人员类型(PTYPE),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,4.0,0.0,
性别(GESCHL),bio,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,3.0,1.0,5-孕妇
国籍(NAT),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,2.0,0.0,
身材(STATUR),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,5.0,0.0,
衣着厚度(BEKLST),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,5.0,0.0,
先期疾病1(VORKR1),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,15.0,1.0,10-脑部疾病，具体未知
先期疾病2(VORKR2),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,14.0,2.0,43-生理机能退化||52-肠胃疾病
先期疾病3(VORKR3),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,10.0,1.0,50-代谢系统疾病
酒精作用(MEDALK),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,6.0,0.0,
身体残疾或其他特殊情况(UNVERMOG),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,3.0,0.0,
自杀企图(SUIZID),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,3.0,0.0,
年龄月数记录(ALTER2),age,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,3.0,1.0,MISSING_OR_UNKNOWN
年龄段(ALTERG),age,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,10.0,0.0,
参与方类型(ARTTEIL),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,4.0,0.0,
主动安全场景(ACSCE),safety,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,32.0,1.0,703-On3-向右换道与对向目标物
酒精测试(ALKOTEST),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,4.0,0.0,
酒精测试结果(TESTERG),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,6.0,0.0,
血液测试(BLUTPR),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,4.0,0.0,
场景类型(PCSCNE),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,3.0,0.0,
碰撞时参与方状态(PARTISTATUS),crash_type,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,3.0,0.0,
ARU事故原因1(URSWIS1),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,29.0,1.0,32-从匝道汇入时忽视主干道上车辆的优先权
ARU事故原因2(URSWIS2),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,24.0,3.0,16-在错误的一边超车(未超过)||89-其他原因||9-未识别前方危情而继续驾驶
ARU事故原因3(URSWIS3),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,21.0,0.0,
ARU事故原因4(URSWIS4),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,3.0,1.0,89-其他原因
事故地点区域(ORTSL),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,5.0,0.0,
事故时段(TZEIT),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,3.0,0.0,
事故参与方总数(ANZBET),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,1.0,0.0,
事故车辆数(ANZBETFZ),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,1.0,0.0,
事故参与人数(ANZPERS),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,9.0,0.0,
事故类型(UTYP),crash_type,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,142.0,7.0,101-驾驶行为错误－在左转弯道上||345||354-路口，转向优先道路车辆与对向左转弯车辆（中国不适用）||384||465-行人穿行 - 路口后，车辆与从左侧固定障碍物后走出的横穿行人||472-行人穿行 - 路口后，超车车辆与右侧横穿行人||618
事故形态(CUART),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,2.0,0.0,
事故特征(UART),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,7.0,0.0,
风力(WINDV),weather,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,5.0,0.0,
云、雾(WOLK),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,7.0,0.0,
雾天时的能见度(NEBELM),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,6.0,1.0,4-小于50米
降水情况(NIED),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,4.0,0.0,
降水量(NIEDR),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,6.0,0.0,
交通灯设置位置(LZAU),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,5.0,0.0,
交通灯的功能(LZAB),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,6.0,0.0,
事故现场周边的公交车站(BUSH),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,6.0,1.0,5-无交通岛的道路
公交车站对事故的影响(BUSHE),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,3.0,0.0,
进入公交车站是否安全(BUSHS),safety,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,5.0,0.0,
事故现场道路环境(STFUHO),other,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,16.0,0.0,
事故路段车流量(VSTUFE),road_env,,,,,,,,,,,,,,,,,,,,missing_as_explicit_category_then_onehot,MISSING_OR_UNKNOWN,6.0,0.0,
