Triplet_Rule_ID,Antecedent_Items,Source_Features,Mechanism_Axis,Mechanism_Families,Mechanism_Family_N,Train_Hit_N,Train_Support,Train_Severe_N,Train_Confidence,Train_Lift,Parent_1_Items,Parent_1_Train_Lift,Parent_2_Items,Parent_2_Train_Lift,Parent_3_Items,Parent_3_Train_Lift,Best_Parent_2Item_Lift,Incremental_Lift_Over_Best_Parent,Incremental_Value_Flag,Governance_Scene,Governance_Interpretation_Template,Interpretation_Boundary,Antecedent_Display_CN,Antecedent_Display_EN,Resolved,Resolve_Trace,Test_N,Test_Base_Rate,Test_Hit_N,Test_Support,Test_Severe_N,Test_Confidence,Wilson_Lower,Wilson_Upper,Risk_Ratio_vs_BaseRate,p_value_enrichment,Has_Continuous_Threshold,q_value_BH,Does_Not_Modify_Primary_Rules
T01,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0||VEH_碰撞速度_VK,speed_energy,age|speed_v0|speed_vk,3,169,0.06575875486381323,149,0.8816568047337278,1.343925259884745,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0,1.3096252485255542,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0,1.3178998616053776,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞速度_VK___GT_50_0,1.1990061626594914,1.3178998616053776,0.02602539827936745,incremental_lift,speed enforcement and conflict-speed management,速度-碰撞能量轴线，适合支持限速、速度执法、冲突区速度管理和碰撞速度降低策略。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",年龄 > 60岁 + 初始速度 > 50 km/h + 碰撞速度 > 50 km/h,Age > 60 years + Initial speed > 50 km/h + Impact speed > 50 km/h,True,FEATURE_Age_Over60:exact_binary_column | VEH_意识到危险前的初始速度_V0___GT_50_0:threshold:>50.0:observed_source_value_required | VEH_碰撞速度_VK___GT_50_0:threshold:>50.0:observed_source_value_required,643,0.656298600311042,41,0.06376360808709176,36,0.8780487804878049,0.7445549235115514,0.9467674200265919,1.3378800138712286,0.0012339061289875929,1,0.009969442380221941,1
T02,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_车宽_BREITE___GT_1800_0,FEATURE_Age_Over60||VEH_碰撞速度_VK||VEH_车宽_BREITE,vehicle_geometry_vulnerability,age|speed_vk|vehicle_size,3,76,0.029571984435797664,67,0.881578947368421,1.34380658050821,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0,1.3178998616053776,FEATURE_Age_Over60||VEH_车宽_BREITE___GT_1800_0,1.2143943533025205,VEH_碰撞速度_VK___GT_50_0||VEH_车宽_BREITE___GT_1800_0,1.143238434163701,1.3178998616053776,0.02590671890283236,incremental_lift,vehicle geometry and vulnerability stratification,车辆几何—脆弱性分层轴线，适合作为车辆几何与VRU脆弱性共同出现的风险线索。,Vehicle geometry and vulnerability stratification signal; do not interpret demographic strata as body-size mechanisms.,年龄 > 60岁 + 碰撞速度 > 50 km/h + 车辆宽度 > 1800 mm,Age > 60 years + Impact speed > 50 km/h + Vehicle width > 1800 mm,True,FEATURE_Age_Over60:exact_binary_column | VEH_碰撞速度_VK___GT_50_0:threshold:>50.0:observed_source_value_required | VEH_车宽_BREITE___GT_1800_0:threshold:>1800.0:observed_source_value_required,643,0.656298600311042,12,0.01866251944012442,12,1.0,0.7574992425007574,1.0,1.5236966824644549,0.006385835640972983,1,0.018245244688494238,1
T03,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||路灯_STRABEL_0-无路灯,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0||路灯_STRABEL_0-无路灯,vulnerability_speed,age|light|speed_v0,3,67,0.026070038910505838,59,0.8805970149253731,1.3423098032966838,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0,1.3096252485255542,FEATURE_Age_Over60||路灯_STRABEL_0-无路灯,1.271947396950343,VEH_意识到危险前的初始速度_V0___GT_50_0||路灯_STRABEL_0-无路灯,1.2741734343157831,1.3096252485255542,0.03268455477112964,incremental_lift,VRU vulnerability-sensitive speed and crossing protection,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",年龄 > 60岁 + 初始速度 > 50 km/h + 路灯_STRABEL_0-无路灯,Age > 60 years + Initial speed > 50 km/h + 路灯_STRABEL_0-无路灯,True,FEATURE_Age_Over60:exact_binary_column | VEH_意识到危险前的初始速度_V0___GT_50_0:threshold:>50.0:observed_source_value_required | 路灯_STRABEL_0-无路灯:exact_binary_column,643,0.656298600311042,14,0.02177293934681182,11,0.7857142857142857,0.5241027622679172,0.9242875166308363,1.197190250507786,0.23536487205754217,1,0.2768998494794614,1
T04,FEATURE_Age_Over60||路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,FEATURE_Age_Over60||路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,vulnerability_demographic,age|bio|light,3,117,0.04552529182879377,103,0.8803418803418803,1.3419208970810395,FEATURE_Age_Over60||路灯_STRABEL_0-无路灯,1.271947396950343,FEATURE_Age_Over60||性别_GESCHL_3-男性,1.2447486881433019,路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,1.1653806668335382,1.271947396950343,0.06997350013069648,incremental_lift,individual demographic risk stratification,个体脆弱性—人口学分层轴线，适合作为年龄/性别等人群分层下的风险识别线索，不应解释为体格或可直接干预因素。,Individual vulnerability–demographic stratification axis; use as a demographic risk-stratification cue rather than a directly intervenable body-size mechanism.,年龄 > 60岁 + 路灯_STRABEL_0-无路灯 + 男性,Age > 60 years + 路灯_STRABEL_0-无路灯 + Male,True,FEATURE_Age_Over60:exact_binary_column | 路灯_STRABEL_0-无路灯:exact_binary_column | 性别_GESCHL_3-男性:exact_binary_column,643,0.656298600311042,26,0.04043545878693624,22,0.8461538461538461,0.6646841558168644,0.9385006600107053,1.2892818082391542,0.028132980910922284,0,0.05626596182184457,1
T05,VEH_碰撞速度_VK___GT_50_0||路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,VEH_碰撞速度_VK||路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,vulnerability_demographic_speed,bio|light|speed_vk,3,133,0.05175097276264591,117,0.8796992481203008,1.340941321274717,VEH_碰撞速度_VK___GT_50_0||路灯_STRABEL_0-无路灯,1.2823626880566383,VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,1.2060216431918482,路灯_STRABEL_0-无路灯||性别_GESCHL_3-男性,1.1653806668335382,1.2823626880566383,0.05857863321807866,incremental_lift,demographic speed-risk stratification,个体脆弱性—人口学/速度分层轴线，适合作为速度暴露下的人群分层风险线索，不应解释为体格机制。,Demographic speed-risk stratification signal; do not interpret sex or age strata as body-size mechanisms.,碰撞速度 > 50 km/h + 路灯_STRABEL_0-无路灯 + 男性,Impact speed > 50 km/h + 路灯_STRABEL_0-无路灯 + Male,True,VEH_碰撞速度_VK___GT_50_0:threshold:>50.0:observed_source_value_required | 路灯_STRABEL_0-无路灯:exact_binary_column | 性别_GESCHL_3-男性:exact_binary_column,643,0.656298600311042,33,0.05132192846034215,29,0.8787878787878788,0.7267415674973484,0.9518391673241576,1.3390061754990663,0.0037074435402170095,1,0.012358145134056697,1
T06,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_碰撞前的制动距离_WEGV___GT_0_5,FEATURE_Age_Over60||VEH_碰撞速度_VK||VEH_碰撞前的制动距离_WEGV,vulnerability_speed,age|crash_type|speed_vk,3,82,0.031906614785992216,72,0.8780487804878049,1.338425483898967,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0,1.3178998616053776,FEATURE_Age_Over60||VEH_碰撞前的制动距离_WEGV___GT_0_5,1.1965076085154147,VEH_碰撞速度_VK___GT_50_0||VEH_碰撞前的制动距离_WEGV___GT_0_5,1.1707143839920868,1.3178998616053776,0.02052562229358945,incremental_lift,VRU vulnerability-sensitive speed and crossing protection,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",年龄 > 60岁 + 碰撞速度 > 50 km/h + VEH_碰撞前的制动距离_WEGV___GT_0_5,Age > 60 years + Impact speed > 50 km/h + VEH_碰撞前的制动距离_WEGV___GT_0_5,True,FEATURE_Age_Over60:exact_binary_column | VEH_碰撞速度_VK___GT_50_0:threshold:>50.0:observed_source_value_required | VEH_碰撞前的制动距离_WEGV___GT_0_5:threshold:>0.5:observed_source_value_required,643,0.656298600311042,24,0.03732503888024884,22,0.9166666666666666,0.741507847985494,0.9768416721570266,1.3967219589257502,0.003640086948671981,1,0.012358145134056697,1
T07,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,FEATURE_Age_Over60||VEH_碰撞速度_VK||性别_GESCHL_3-男性,vulnerability_speed,age|bio|speed_vk,3,151,0.05875486381322957,132,0.8741721854304636,1.332516320614645,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0,1.3178998616053776,FEATURE_Age_Over60||性别_GESCHL_3-男性,1.2447486881433019,VEH_碰撞速度_VK___GT_50_0||性别_GESCHL_3-男性,1.2060216431918482,1.3178998616053776,0.014616459009267446,incremental_lift,VRU vulnerability-sensitive speed and crossing protection,易损个体-速度轴线，适合支持老年/体弱VRU高暴露场景下的速度控制、过街保护和预警设施。,"Train-only mechanism label; interpret only together with fixed rule thresholds, blind replay results, and evidence tier.",年龄 > 60岁 + 碰撞速度 > 50 km/h + 男性,Age > 60 years + Impact speed > 50 km/h + Male,True,FEATURE_Age_Over60:exact_binary_column | VEH_碰撞速度_VK___GT_50_0:threshold:>50.0:observed_source_value_required | 性别_GESCHL_3-男性:exact_binary_column,643,0.656298600311042,41,0.06376360808709176,38,0.926829268292683,0.8057225998278872,0.9748026267474359,1.4122066813085192,5.638967363745391e-05,1,0.0011277934727490781,1
T08,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0||VEH_碰撞时的总重_GEWGES,vehicle_mass_speed_energy,age|speed_v0|vehicle_mass,3,102,0.03968871595330739,89,0.8725490196078431,1.3300420998767242,FEATURE_Age_Over60||VEH_意识到危险前的初始速度_V0___GT_50_0,1.3096252485255542,FEATURE_Age_Over60||VEH_碰撞时的总重_GEWGES___GT_1497_5,1.2004701506480866,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5,1.1494856387219725,1.3096252485255542,0.020416851351169996,incremental_lift,vehicle mass-speed energy audit signal,车辆总重—速度能量轴线，适合作为车辆质量/惯性与速度共同作用下的审计级治理线索。,"Vehicle mass-speed energy axis; use as an audit-level signal for vehicle mass/inertia combined with speed exposure, not as crash configuration governance.",年龄 > 60岁 + 初始速度 > 50 km/h + 车辆总重 > 1497.5,Age > 60 years + Initial speed > 50 km/h + Vehicle total weight > 1497.5,True,FEATURE_Age_Over60:exact_binary_column | VEH_意识到危险前的初始速度_V0___GT_50_0:threshold:>50.0:observed_source_value_required | VEH_碰撞时的总重_GEWGES___GT_1497_5:threshold:>1497.5:observed_source_value_required,643,0.656298600311042,21,0.03265940902021773,18,0.8571428571428571,0.6536350585077049,0.950190782017865,1.3060257278266756,0.03759535581928427,1,0.05783900895274503,1
T09,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0||VEH_车长_LAENGE___GT_4598_5,FEATURE_Age_Over60||VEH_碰撞速度_VK||VEH_车长_LAENGE,vehicle_geometry_vulnerability,age|speed_vk|vehicle_size,3,76,0.029571984435797664,66,0.868421052631579,1.3237497658737591,FEATURE_Age_Over60||VEH_碰撞速度_VK___GT_50_0,1.3178998616053776,FEATURE_Age_Over60||VEH_车长_LAENGE___GT_4598_5,1.1926671530745445,VEH_碰撞速度_VK___GT_50_0||VEH_车长_LAENGE___GT_4598_5,1.12573301644388,1.3178998616053776,0.005849904268381501,incremental_lift,vehicle geometry and vulnerability stratification,车辆几何—脆弱性分层轴线，适合作为车辆几何与VRU脆弱性共同出现的风险线索。,Vehicle geometry and vulnerability stratification signal; do not interpret demographic strata as body-size mechanisms.,年龄 > 60岁 + 碰撞速度 > 50 km/h + 车辆长度 > 4598.5 mm,Age > 60 years + Impact speed > 50 km/h + Vehicle length > 4598.5 mm,True,FEATURE_Age_Over60:exact_binary_column | VEH_碰撞速度_VK___GT_50_0:threshold:>50.0:observed_source_value_required | VEH_车长_LAENGE___GT_4598_5:threshold:>4598.5:observed_source_value_required,643,0.656298600311042,17,0.026438569206842923,15,0.8823529411764706,0.6566315750229009,0.967120919987079,1.3444382492333424,0.03670161432645975,1,0.05783900895274503,1
