Triplet_Rule_ID,Antecedent_Items,Duplicate_Semantic_Group,Duplicate_Items,Action,Reason
,FEATURE_Age_Over60||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_意识到危险前的初始速度_V0___GT_50_0||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_碰撞速度_VK___GT_50_0||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,体重估计_GEWPG___GT_70_0||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,路灯_STRABEL_0-无路灯||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,事故现场道路环境_STFUHO_4-环形交叉||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,公路分类_STRKL_1-公路以外的其他道路||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,路面附着系数_MUE___LE_0_5||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_车高_HOEHE___GT_1495_0||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,主动安全场景_ACSCE_1101-C1-穿行遇从右侧来的目标物||VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||行驶车辆所在车道_FSTREIF_3-单向车道_单车道||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||风速_WINDS___GT_0_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||性别_GESCHL_3-男性,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||VEH_第一轴右侧轮胎胎面状态_TIREDA1R_1-未损坏,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||VEH_车辆用途_VEHUSAGE_16-私用,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||身高估计_GROESPG___GT_170_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||VEH_碰撞前的制动距离_WEGV___GT_0_5,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||事故参与人数_ANZPERS_3-3,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||VEH_车长_LAENGE___GT_4598_5,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||道路类型_STRART_15-公路_四级公路,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||VEH_车宽_BREITE___GT_1800_0,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||VEH_碰撞时的总重_GEWGES___GT_1497_5,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0||不同行驶方向车道的隔离方法_MARK_11-防撞栏,crash_contact_geometry,VEH_车上第一碰撞点Y向坐标_BRPY___GT_60_0||VEH_车上第一碰撞点Z向坐标_BRPZ___GT_50_0,excluded_from_triplet_extension,same semantic construct repeated in one rule
